2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: Cleaning up plugin: ProcessLogBridgePlugin Plugin
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: [ProcessLogBridgePlugin] Cleaning up
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan:HttpServer: [ProcessLogBridgePlugin] Cleanup complete
2026-07-11 11:17:20 India Standard Time | ERROR    | NeuroSan:_log:716 - NeuroSan - Traceback (most recent call last):
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "<frozen runpy>", line 203, in _run_module_as_main
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "<frozen runpy>", line 88, in _run_code
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san_studio\runner\neuro_san_server_wrapper.py", line 89, in <module>
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     wrapper.run()
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ~~~~~~~~~~~^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san_studio\runner\neuro_san_server_wrapper.py", line 80, in run
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ServerMainLoop().main_loop()
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ~~~~~~~~~~~~~~~~~~~~~~~~~~^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san\service\main_loop\server_main_loop.py", line 298, in main_loop
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     self.http_server.start(components_to_start)
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\neuro_san\service\http\server\http_server.py", line 194, in start
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     tornado.ioloop.IOLoop.current().start()
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\airline-disruption-neuro-san-integrated\.venv\Lib\site-packages\tornado\platform\asyncio.py", line 211, in start
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     self.asyncio_loop.run_forever()
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\Users\DELL\AppData\Local\Python\pythoncore-3.13-64\Lib\asyncio\base_events.py", line 683, in run_forever
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     self._run_once()
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     ~~~~~~~~~~~~~~^^
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\Users\DELL\AppData\Local\Python\pythoncore-3.13-64\Lib\asyncio\base_events.py", line 2022, in _run_once
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -     event_list = self._selector.select(timeout)
2026-07-11 11:17:20 India Standard Time | INFO     | NeuroSan:_log:720 - NeuroSan -   File "C:\Users\DELL\AppData\Local\Python\pythoncore-3.13-64\Lib\selectors.py", line 314, in select
